player_id,player_name,"{""Australian Open"",""G""}","{""Roland Garros"",""G""}","{""Wimbledon"",""G""}","{""US Open"",""G""}","{""Indian Wells Masters"",""M""}","{""Miami Masters"",""M""}","{""Madrid Masters"",""M""}","{""Rome Masters"",""M""}","{""Canada Masters"",""M""}","{""Cincinnati Masters"",""M""}","{""Shanghai Masters"",""M""}","{""Monte Carlo Masters"",""M""}","{""Paris Masters"",""M""}","{""Dallas"",""500""}","{""Rotterdam"",""500""}","{""Doha"",""500""}","{""Rio de Janeiro"",""500""}","{""Dubai"",""500""}","{""Acapulco"",""500""}","{""Barcelona"",""500""}","{""Munich"",""500""}","{""Hamburg"",""500""}","{""Queen's Club"",""500""}","{""Halle"",""500""}","{""Tokyo"",""500""}","{""Beijing"",""500""}","{""Basel"",""500""}","{""Vienna"",""500""}","{""Washington"",""500""}","{""Brisbane"",""250""}","{""Winston-Salem"",""250""}","{""Hong Kong"",""250""}","{""Adelaide"",""250""}","{""Auckland"",""250""}","{""Montpellier"",""250""}","{""Marseille"",""250""}","{""Delray Beach"",""250""}","{""Buenos Aires"",""250""}","{""Santiago"",""250""}","{""Houston"",""250""}","{""Marrakech"",""250""}","{""Bucharest"",""250""}","{""Geneva"",""250""}","{""Stuttgart"",""250""}","{""'s-Hertogenbosch"",""250""}","{""Mallorca"",""250""}","{""Eastbourne"",""250""}","{""Los Cabos"",""250""}","{""Gstaad"",""250""}","{""Bastad"",""250""}","{""Umag"",""250""}","{""Kitzbuhel"",""250""}","{""Chengdu"",""250""}","{""Hangzhou"",""250""}","{""Stockholm"",""250""}","{""Brussels"",""250""}","{""Almaty"",""250""}","{""Metz"",""250""}","{""Athens"",""250""}","{""ATP Finals"",""F""}"
MW75,Felipe Meligeni Alves,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
M0NI,Jakub Mensik,100,50,100,50,30,1000,200,100,50,50,10,,,,50,,,,0,,0,,50,,,100,50,,,50,,,,50,,,,,,,,,,,,,50,,,,,,,,,,,,,
DH58,Alex de Minaur,400,50,200,400,100,100,100,100,200,10,200,400,200,,330,100,,0,,100,,,0,,,200,,200,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
D0D4,Stefan Dostanic,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ37,Tallon Griekspoor,10,200,10,10,200,,30,30,10,10,100,10,10,,50,50,,200,,,100,,,,,0,,100,,,0,,,,50,,,,,,165,,,,,250,,,,50,,,0,,0,,,,,
S0GD,Dalibor Svrcina,,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,50,,,,,,
GH33,Manuel Guinard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,
M0C2,Dan Martin,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0E9,Flavio Cobolli,10,100,400,100,10,10,50,10,100,10,10,50,50,,0,,,,0,,0,500,,100,,50,,50,50,,,,,0,0,,,,,,,250,,,,,0,,,,,,,,,,50,0,,
U182,Camilo Ugo Carabelli,10,10,10,10,,50,10,30,10,30,30,10,50,,,,200,,,,,50,0,,,0,,0,,,,,,,,,,0,100,,,25,,,,0,,,,100,100,,,0,0,,,,,
E0DD,Justin Engel,,,,,,,,,,,,,,,,,,,,,0,50,,,,,,,,,,,,,,,,,,,,,,50,,0,,,,,,0,,,,,,,,
G628,Richard Gasquet,,50,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,25,0,,,,,,25,,,,,,,,,,,,,,,,,,
S0K7,Zachary Svajda,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
PD07,Vasek Pospisil,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ08,Thiago Monteiro,10,10,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,0,,,,,,,,,,
SU55,Denis Shapovalov,50,50,10,100,50,50,50,10,10,10,50,10,10,500,,,,,200,,0,,,50,0,,100,,,,,0,25,,,,,,,,,,,0,,,,250,,,,,,,100,,,,,
F0DM,Arthur Fery,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
KC12,Mitchell Krueger,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,
N897,Sumit Nagal,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
C0DF,Francisco Comesana,10,10,10,50,,10,50,30,30,100,30,,10,,,,200,,,,,0,,,,,,,,,0,,,0,,,,0,25,,,50,,,,,0,,50,,,25,,,,25,,,,
L0CK,Younes Lalami Laaroussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
HG86,Lloyd Harris,,10,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0IL,Martin Landaluce,10,,,,,,10,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
B0NN,Nishesh Basavareddy,10,,10,10,10,,,,,30,,,,,,,,,0,,,,,,,,,,,0,13,,,100,,,,,,,,0,,,0,0,,25,,,,,,25,,,,,,
R0IU,William Rejchtman Vinciguerra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
F0F1,Arthur Fils,100,100,,,200,200,10,100,50,,,200,,,50,,,0,,200,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K0E6,Alibek Kachmazov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,
BV16,Ugo Blanchet,,10,,100,,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
S0UV,Rei Sakamoto,,,,,,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O522,Reilly Opelka,50,50,50,10,10,50,30,10,50,50,10,,10,100,,,,,,0,,,50,,,,100,,25,165,,,,,,,25,,,,,,,,100,,25,,,,,,,,,0,,,0,
N0AM,Emilio Nava,,50,,10,,,,,50,30,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,
S0N0,Tristan Schoolkate,50,10,,50,,30,,,30,,10,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,50,,,,,,,,,0,,,
DF92,Corentin Denolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
R0FS,Leandro Riedi,,,10,200,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0JZ,Filip Misolic,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,50,,,0,,,,,,,,,,,50,,,,,,,,50,,25,0,,0,,,,,
E865,Christopher Eubanks,,,10,,,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,25,,0,,,50,,,,,,,,,,,,,,,,,,,,
SU87,Lorenzo Sonego,400,10,200,10,10,30,30,10,50,50,10,10,100,,0,,,0,,,,,,50,,0,0,,0,,25,25,,25,,50,,,,,0,,,0,,,25,,,,,,25,,50,,,100,,
CF59,Roberto Carballes Baena,100,,10,10,10,30,,10,30,30,,,,0,,,0,,0,0,,,,,,,,,,,,0,,50,,,,0,,,100,,,,,,,,25,,0,,,,,,,,,
M0AW,Nicolas Mejia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
M0OQ,James McCabe,50,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
O513,Sebastian Ofner,,50,100,10,,,30,50,10,10,10,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,100,,,,,,,0,,0,,,0,,,,,
PH64,Andrea Pellegrino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
G0GD,Matteo Gigante,10,100,,,30,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
